gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555229	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000714	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinus lagopus (Fr.) Fr.	Coprinus lagopus (Fr.) Fr.	(Fr.) Fr.	CA	Châteauguay	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.359455	-73.734207	5000.0						1989-09-03	3	9	1989	2534413	8945216	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000714		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.294Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552882	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003350	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinus lagopus (Fr.) Fr.	Coprinus lagopus (Fr.) Fr.	(Fr.) Fr.	CA	Brossard	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.447591	-73.453807	6500.0						1999-08-14	14	8	1999	2534413	8945216	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003350		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.064Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4982039929	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/59484983	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.321579	-75.798231	200.0						2020-09-13T15:15	13	9	2020	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	59484983		Alan Rockefeller	2020-09-25T01:29:51	CC_BY_NC_4_0	mrrhodenizer	mrrhodenizer			2025-01-14T13:10:53.793Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4937113872	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185915094	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.220255	-75.465994	15474.0						2023-10-02T11:36:49	2	10	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	185915094		sburger82	2023-10-02T15:45:15	CC_BY_NC_4_0	sburger82	sburger82			2025-01-14T12:40:07.870Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936724851	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237256273	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.832444	-76.902131	6.0						2024-08-21T11:17	21	8	2024	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	237256273		apo11osdad	2024-08-22T10:52:18	CC_BY_NC_4_0	apo11osdad	apo11osdad			2025-01-14T12:49:13.774Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936400694	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/88517322	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.399983	-75.755828	16.0						2021-07-25T06:20:09	25	7	2021	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	88517322		adamfritz	2021-07-25T10:20:41	CC_BY_4_0	adamfritz	adamfritz			2025-01-14T12:20:24.816Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528184210	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/195078229	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.955497	-71.40211	15.0						2023-09-23	23	9	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	195078229		Christian Grenier	2023-12-28T15:47:37	CC_BY_NC_4_0	Christian Grenier	Christian Grenier			2025-01-14T13:35:34.185Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4507602545	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97693672	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.324238	-75.799773	201.0						2021-10-08T11:41:22	8	10	2021	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	97693672		amanitamozart	2023-06-06T20:22:45	CC_BY_NC_4_0	warblerific	warblerific			2025-01-14T13:11:51.470Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4438654987	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183119013	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.09962	-75.640708	4.0						2023-09-06T09:12:01	6	9	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	183119013		judieg	2023-09-13T19:15:58	CC_BY_NC_4_0	judieg	judieg			2025-01-14T13:29:56.727Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430865932	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/133611028	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.580582	-77.244892	186.0						2022-09-03T08:40:08	3	9	2022	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	133611028		zohr	2022-09-04T14:16:09	CC_BY_NC_4_0	zohr	zohr			2025-01-14T12:31:49.462Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430689288	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188332858	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.549797	-73.461301	31.0						2023-09-30T15:14	30	9	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	188332858		Antoine Fortin	2023-10-21T02:40:07	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T13:33:50.182Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430534529	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186736820	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.305937	-75.816085	169.0						2023-10-08T14:24:55	8	10	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	186736820		janesly	2023-10-08T19:01:05	CC_BY_NC_4_0	janesly	janesly			2025-01-14T13:29:53.079Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4421225963	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184941698	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.379283	-74.188195	14.0						2023-09-23T10:48:47	23	9	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	184941698		Patrice Dauzet	2023-09-26T12:55:31	CC_BY_4_0	Mical	Mical			2025-01-14T12:42:29.056Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4413441866	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/171008998	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.710039	-73.825189							2023-07-04T06:03:19	4	7	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	171008998		annikp	2023-07-04T12:54:43	CC_BY_NC_4_0	annikp	annikp			2025-01-14T13:31:07.525Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4407095340	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42482840	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.429958	-73.94594	72.0						2018-10-03T10:08	3	10	2018	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	42482840		amanitamozart	2023-09-03T13:13:16	CC0_1_0	David Bird	David Bird			2025-01-14T12:11:32.815Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4405117376	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/92732423	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.886279	-76.523316	27095.0						2021-08-07T10:44	7	8	2021	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	92732423		L Joan Heyding	2021-08-28T13:36:13	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:23:05.307Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4405097171	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/179840255	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis lagopus		SPECIES	Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo	Coprinopsis lagopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.320539	-75.584464	798.0						2023-08-23T07:23	23	8	2023	8945216	8945216	HUMAN_OBSERVATION	iNaturalist	Observations	179840255		Ray Snook	2023-08-23T15:46:15	CC_BY_NC_4_0	Ray Snook	Ray Snook			2025-01-14T12:40:08.252Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
