gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555136	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000673	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus Schwein.	Schwein.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-08-25	25	8	1989	5246696	5246696	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000673		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.122Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554168	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003928	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus Schwein.	Schwein.	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						2005-09-04	4	9	2005	5246696	5246696	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003928		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.479Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550926	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002493	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus Schwein.	Schwein.	CA	Melocheville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.307492	-73.928526	4000.0						1995-08-16	16	8	1995	5246696	5246696	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002493		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.577Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4987545545	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252669466	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.037455	-74.071997	1953.0						2024-08-20T10:24	20	8	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	252669466		Annabelle Langlois	2024-11-23T02:27:09	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T13:41:11.311Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980630583	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/193086551	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.981852	-71.117382	26935.0						2023-09-20T14:17:42	20	9	2023	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	193086551		Ariel Bonkoski	2024-11-11T22:35:23	CC_BY_NC_4_0	Alex Wittemeier	Alex Wittemeier			2025-01-14T13:35:31.042Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980624322	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227197344	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.497903	-73.773347	14.0						2024-07-04T11:41:41	4	7	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	227197344		jestre	2024-07-04T22:59:52	CC_BY_NC_4_0	jestre	jestre			2025-01-14T12:46:56.945Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980264616	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/250231746	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.774831	-71.275286	357.0						2024-08-01T11:37:47	1	8	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	250231746		arthur_tdlc	2024-11-03T02:14:36	CC_BY_NC_4_0	arthur_tdlc	arthur_tdlc			2025-01-14T12:52:20.368Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946561073	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239883818	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.49103	-75.626172							2024-09-04T14:15	4	9	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	239883818		jonathan_mack	2024-09-04T23:58:07	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:43:14.093Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936942063	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239187005	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.398738	-75.703349	585.0						2024-09-01T10:58:31	1	9	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	239187005		alitheabsurd	2024-09-01T16:01:15	CC_BY_NC_4_0	CalabogieHiker	CalabogieHiker			2025-01-14T13:43:37.047Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936284262	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236386283	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.081751	-73.155778	4280.0						2024-08-17T11:37:22	17	8	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	236386283		egrenier	2024-08-17T22:34:28	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T13:35:40.739Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935967326	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234276380	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.026502	-72.718758	130.0						2024-08-06T17:31:32	6	8	2024	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	234276380		wez	2024-08-07T04:19:48	CC_BY_NC_4_0	wez	wez			2025-01-14T12:48:00.251Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4600037591	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/93982611	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.0681	-72.737925							2021-07-15T13:05	15	7	2021	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	93982611		cinna_latifolia	2024-02-20T07:35:19	CC_BY_NC_4_0	Victor Grivegnée-Dumoulin	Victor Grivegnée-Dumoulin			2025-01-14T13:15:12.634Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4424646544	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186312895	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.775097	-71.287266	51.0						2023-10-05T14:36:40	5	10	2023	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	186312895		Camille Boucher	2023-10-05T18:39:21	CC_BY_NC_4_0	Camille Boucher	Camille Boucher			2025-01-14T13:28:07.979Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4421055699	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185577548	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus radicatus		SPECIES	Polyporus radicatus Schwein.	Polyporus radicatus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.402884	-75.587683	8.0						2023-09-27T14:28:49	27	9	2023	5246696	5246696	HUMAN_OBSERVATION	iNaturalist	Observations	185577548		Igor Khomenko	2023-09-30T15:50:28	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:40:39.096Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
