gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555005	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000614	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus (Fr.) Kühner	(Fr.) Kühner	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1989-08-07	7	8	1989	9044184	9044184	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000614		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.204Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552145	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003022	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus (Fr.) Kühner	(Fr.) Kühner	CA	Québec	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.86201	-71.307678	15000.0						1996-09-30	30	9	1996	9044184	9044184	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003022		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:16.634Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549506	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000187	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus (Fr.) Kühner	(Fr.) Kühner	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-08-19	19	8	1988	9044184	9044184	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000187		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.723Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549434	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000184	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus (Fr.) Kühner	(Fr.) Kühner	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1988-08-19	19	8	1988	9044184	9044184	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000184		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.723Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549128	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001708	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus (Fr.) Kühner	(Fr.) Kühner	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1992-07-30	30	7	1992	9044184	9044184	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001708		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.208Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4987759493	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252683565	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.037455	-74.071997	1953.0						2024-09-17T08:38	17	9	2024	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	252683565		Annabelle Langlois	2024-11-23T05:42:22	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T12:55:03.134Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946161415	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/242011943	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.456424	-75.548949	31.0						2024-09-15T15:16	15	9	2024	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	242011943		jonathan_mack	2024-09-16T02:09:22	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:37:34.939Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4436164109	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/189087668	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.1639	-75.460155							2023-10-26T11:01:04	26	10	2023	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	189087668		Randy	2023-10-27T05:28:41	CC_BY_NC_4_0	Randy	Randy			2025-01-14T12:42:58.879Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4417071917	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184953639	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.40219	-75.58584	183.0						2023-09-25T09:22	25	9	2023	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	184953639		L Joan Heyding	2023-09-26T01:48:02	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:42:39.633Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4416793445	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/179770317	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.387164	-72.723252	712.0						2023-08-18T15:21	18	8	2023	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	179770317		Antoine Fortin	2023-08-23T01:56:31	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T12:42:10.145Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4405203899	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/179768364	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.457375	-75.467774	9.0						2023-08-22T18:58	22	8	2023	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	179768364		jonathan_mack	2023-08-23T01:36:54	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T12:40:00.170Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4400059239	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/179548410	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.549324	-78.633515	1007.0						2023-08-20T14:39:08	20	8	2023	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	179548410		shawn is he	2023-08-21T16:59:46	CC_BY_NC_4_0	shawn is he	shawn is he			2025-01-14T13:32:39.500Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4166286657	695cef75-b65f-4776-b2ed-74565eebb16e	02-01000962251	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus	(Fr.) Kühner	CA	Portage into W. end of Misty Lake from Petawawa River	Ontario	PRESENT		055bd978-2daa-4543-b3f0-44e0e87e86ca	45.691667	-78.85							1977-08-28	28	8	1977	9044184	9044184	PRESERVED_SPECIMEN	AAFC	DAOM	186525		S.A. Redhead		CC_BY_4_0	©His Majesty the King in Right of Canada, as represented by the Minister of Agriculture and Agri-Food	G. Thorn			2025-01-12T05:11:16.557Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4162062676	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/171821313	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.555761	-73.470882	31.0						2023-07-08T10:23	8	7	2023	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	171821313		Antoine Fortin	2023-07-08T20:38:42	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T13:31:03.854Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4153360776	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/171253937	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.503619	-73.588622	8.0						2022-08-12T15:51	12	8	2022	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	171253937		Antoine Fortin	2023-07-05T18:59:25	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T13:31:27.127Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3988633282	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/143798374	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.79389	-71.329744	15.0						2022-09-06	6	9	2022	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	143798374		Christian Grenier	2022-12-06T15:30:15	CC_BY_NC_4_0	Christian Grenier	Christian Grenier			2025-01-14T12:32:44.722Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3915639192	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/136681994	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.403142	-75.587188	5.0						2022-09-26T10:29:13	26	9	2022	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	136681994		Lynn Ovenden	2022-09-27T13:01:45	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T14:07:11.011Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3915426740	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/136063017	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.149331	-75.396413	4.0						2022-09-20T11:37:06	20	9	2022	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	136063017		Randy	2022-09-22T17:56:14	CC_BY_NC_4_0	Randy	Randy			2025-01-14T13:26:15.160Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3915310009	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135864600	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.095721	-73.567129	14.0						2022-09-17T14:18	17	9	2022	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	135864600		jonathan_mack	2022-09-21T01:57:45	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:24:43.701Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3912445671	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135236368	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus ursinus		SPECIES	Lentinellus ursinus (Fr.) Kühner	Lentinellus ursinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.431549	-73.946351	4.0						2022-09-16T08:53:16	16	9	2022	9044184	9044184	HUMAN_OBSERVATION	iNaturalist	Observations	135236368		abrunet27	2022-09-16T12:54:29	CC_BY_NC_4_0	abrunet27	abrunet27			2025-01-14T12:31:47.427Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
