gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694157018	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14103	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala (Fr.) Arnolds 2003	(Fr.) Arnolds 2003	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2007-10-03	3	10	2007	2529827	2529827	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC156993	ALG07_169			CC0_1_0	Royal Ontario Museum	Maryna Didukh; Dentiger Bryn			2024-01-25T00:59:40.235Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554796	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000521	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe lactea (J.E.Lange) Métrod	Conocybe lactea (J.E. Lange) Métrod	(J.E. Lange) Métrod	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-06-26	26	6	1989	2529831	2529827	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000521		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.056Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552992	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000034	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe lactea (J.E.Lange) Métrod	Conocybe lactea (J.E. Lange) Métrod	(J.E. Lange) Métrod	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-07-10	10	7	1988	2529831	2529827	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000034		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.353Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549521	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001877	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe lactea (J.E.Lange) Métrod	Conocybe lactea (J.E. Lange) Métrod	(J.E. Lange) Métrod	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1993-06-30	30	6	1993	2529831	2529827	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001877		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.231Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4987651870	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/233834736	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.692989	-64.019347	4.0						2024-08-03T19:25	3	8	2024	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	233834736		Thelma Phillips	2024-08-04T23:37:05	CC_BY_NC_4_0	Thelma Phillips	Thelma Phillips			2025-01-14T13:42:13.761Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936262681	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/173050675	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.457356	-73.562775	34.0						2023-07-15T09:02:07	15	7	2023	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	173050675		viandemoisie	2023-07-15T17:24:06	CC_BY_4_0	viandemoisie	viandemoisie			2025-01-14T13:31:29.885Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921879815	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/233554001	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.678379	-73.506854	8.0						2024-08-03T15:31	3	8	2024	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	233554001		sara-charlotte	2024-08-03T19:36:16	CC_BY_NC_4_0	sara-charlotte	sara-charlotte			2025-01-14T13:42:12.274Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4909213562	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229623205	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.634052	-73.810907	31.0						2024-07-14T08:54	14	7	2024	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	229623205		Taylor Routledge	2024-07-16T17:04:32	CC_BY_NC_4_0	ramenramen	ramenramen			2025-01-14T13:47:36.552Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908978393	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227789749	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.003108	-77.44393	35.0						2024-07-05T07:51:27	5	7	2024	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	227789749		Darren Gordon	2024-07-07T16:48:39	CC_BY_NC_4_0	Mike Theil	Mike Theil			2025-01-14T13:41:57.552Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908736506	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/228454615	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.29457	-66.033669	184.0						2024-07-10T11:34:25	10	7	2024	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	228454615		Toni Doucette	2024-07-10T15:23:49	CC_BY_NC_4_0	Toni Doucette	Toni Doucette			2025-01-14T13:37:03.480Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908736058	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/228455270	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe apala		SPECIES	Conocybe apala (Fr.) Arnolds	Conocybe apala		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.338587	-67.432647	10.0						2024-07-10T07:53:55	10	7	2024	2529827	2529827	HUMAN_OBSERVATION	iNaturalist	Observations	228455270		Darren Gordon	2024-07-10T17:26:57	CC_BY_NC_4_0	chels_01	chels_01			2025-01-14T13:42:03.737Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
